,Доп. размер
193,6 размотка
194,6
195,6
196,11.7
197,11.7
198,6
199,11.7
200,11.7
201,бухты
202,бухты
203,6
204,6
205,бухты
206,6
207,6
208,11.7
209,бухты
210,бухты
211,бухты
212,6
213,6
214,11.7
215,11.7
216,11.7
217,11.7
218,11.7
219,11.7
220,11.7
221,бухты
222,6
223,6
224,бухты
225,6
226,бухты
227,6
228,11.7
229,11.7
230,11.7
231,11.7
232,11.7
233,11.7
234,11.7
235,11.7
236,11.7
237,11.7
238,11.7
239,11.7 6
240,11.7 6
241,11.7 6
242,6
243,6
244,11.7
245,11.7 6
246,11.7
247,11.7
248,11.7
249,11.7
250,бухты
251,11.7 размотка
252,6 размотка
253,бухты
254,6
255,бухты
256,6 размотка
257,6 размотка
258,бухты
259,3
260,11.7 размотка
261,6 размотка
262,бухты
263,6 размотка
264,6 размотка
265,6 размотка
266,11.7
267,11.7
268,11.7
269,11.7
270,11.7
271,11.7
272,11.7
273,11.7 размотка
274,11.7
275,бухты
276,11.7
277,11.7 размотка
278,бухты
279,11.7
280,бухты
281,11.7
282,6
283,11.7
284,11.7
285,11.7
286,11.7
287,11.7
288,11.7
289,11.7
290,11.7
291,бухты
292,11.7 размотка
293,11.7
294,бухты
295,11.7 размотка
296,бухты
297,6 размотка
298,бухты
299,6 размотка
300,11.7
301,11.7
302,11.7
303,6 размотка
304,11.7
305,11.7
306,11.7
307,6
308,бухты
309,11.7
310,6
311,6
312,11.7
313,бухты
314,11.7
315,6
316,11.7
317,11.7
318,11.7
319,11.7
320,11.7
321,11.7
322,11.7
323,11.7
324,11.7
325,11.7
330,6
331,6
332,6
333,бухты
334,11.7
335,6
336,бухты
337,11.7
338,6
339,бухты
340,бухты
341,11.7
342,6
343,бухты
344,11.7
345,11.7
346,11.7
347,11.7
348,11.7
349,11.7
350,6
351,11.7
352,6
357,11.7
358,11.7
359,11.7
360,11.7
361,11.7
362,11.7
363,11.7
364,11.7
365,6
366,6
367,11.7
368,11.7
369,6
370,6
371,11.7
372,6
373,11.7
374,11.7
375,6
376,бухты
377,6
378,6
379,бухты
380,11.7
381,11.7
382,11.7
383,12
384,11.7
385,11.7
386,11.7
387,11.7
388,11.7
389,11.7
390,11.7
391,11.7 с н/д
392,11.7
393,11.7
394,11.7
395,11.7
396,7.6
397,11.7
398,11.7
399,11.7
400,11.7
401,11.7
402,12
403,6 размотка
404,бухты
405,бухты
406,6
407,11.7
408,11.7
409,11.7
410,11.7
411,6.7
412,11.7
413,11.7
414,11.7
415,11.7
416,11.7
417,11.7
418,11.7
419,11.7
420,11.75
421,12
422,12
423,12
424,12
425,11.7
426,12
427,12
428,6.7
429,7.6
430,12
431,6
432,бухты
433,11.7
434,6
435,бухты
436,6
437,11.7
438,бухты
439,11.7
440,12
441,11.7
442,11.7
443,11.7
444,6 размотка
445,бухты
446,11.7
447,бухты
448,бухты
449,11.7
450,11.7
451,11.7
452,11.7
453,11.7
455,11.7
456,11.7
457,11.7
458,11.7
459,11.7
460,11.7
461,11.7
462,11.7
463,11.7
464,11.7
465,11.7
466,11.7
467,11.7
468,11.7
469,11.7
470,11.7
471,11.7
472,11.7
473,11.7
474,бухты
475,11.7
476,6.7
477,11.7
478,11.7
479,11.7
480,11.7
481,4 5 7
483,5.85 8 9
484,4
486,11.7
487,5.85
488,11.7
489,6
490,11.7 6
491,11.7
492,бухты
493,12
494,бухты
495,6
496,11.7
497,бухты
498,бухты
499,11.7 размотка
500,6 размотка
501,бухты
502,6
503,бухты
504,6
505,7.6
506,6
507,11.7
508,11.7
509,11.7
510,11.7
511,11.7
512,11.7
513,11.7
514,11.7
515,11.7
516,11.7
517,11.7
518,11.7
519,11.7
520,11.7
521,11.7
522,11.7
523,11.7
524,11.75
525,2.9
526,4.9
527,5.85
528,6.85
529,11.75
530,11.7
531,11.7
532,11.7
533,11.7
534,11.7
535,6.7
536,11.7
537,11.7
538,6
539,6
540,6
541,11.7
542,11.7
543,11.7
544,11.7
545,11.7
546,11.7
547,3
548,бухты
549,3
550,бухты
551,11.75
552,5.85
553,2.9
554,6
555,бухты
556,6
557,11.7
558,бухты
559,11.7
560,11.7
561,6
562,11.7
563,11.7
564,11.7
565,6.7
566,11.7
567,5.85
568,11.75
569,5.85
570,5.85
571,11.7
572,11.7
573,11.7
574,11.7
575,11.7
576,11.7
577,11.7
578,11.7
579,11.7
580,11.7
581,11.7
582,11.7
583,11.7
584,11.7
585,11.7
586,7.6
587,11.7
588,11.7
589,бухты
590,11.7
591,бухты
592,11.7 размотка
593,бухты
594,6 размотка
595,6
596,11.75
597,11.75
598,11.7
599,11.7
600,11.7
601,11.7
602,11.7
603,11.75
604,11.7
605,6
606,11.7 с н/д
607,6
608,бухты
609,бухты
610,11.7
611,11.7
612,11.7
613,6
614,7.6
615,11.7
616,11.7
617,11.7
618,11.7
619,11.7
620,11.7
621,11.7
622,11.7
623,11.7
624,11.7
625,11.7
626,11.7
627,11.7
628,11.7
629,11.7
630,11.7
631,7.6
632,11.7
633,11.7
634,11.7
635,11.7
636,11.7
637,11.7
638,11.7
639,бухты
640,бухты
641,6
642,6
643,11.7
644,11.7
645,11.7
646,11.7
647,11.7
648,11.7
649,11.7
650,11.7
651,11.7
652,11.7
653,11.7
654,11.7
655,бухты
656,6
657,бухты
658,бухты
659,6
660,11.7
661,11.7
662,11.7
663,11.7
664,11.7
665,11.7
666,бухты
667,бухты
668,6.7
669,11.7
670,7.6
671,1-6
672,11.7
673,6
674,11.7
676,6
677,бухты
678,бухты
679,11.7
680,бухты
681,бухты
683,6
684,11.7
685,8
686,1-6
687,11.7
688,11.7
690,бухты
691,11.7
692,11.7
693,11.7
694,6
695,6 размотка
696,бухты
697,12 размотка
698,11-12
699,6
700,6
701,бухты
702,6
703,6
704,7.6
705,11.7
706,6
707,6
708,бухты
709,6
710,11.7
711,11.7
712,11.7
713,6.7
714,бухты
715,11.7
716,11.7
717,11.7
718,11.7
719,11.7
720,бухты
721,11.7
722,11.7
723,11.7
724,11.7
725,11.7
726,бухты
727,11.7
728,4-5
729,6-7
730,бухты
731,11.7
732,11.7
733,11.7
734,11.7
735,11.7
736,11.7
737,11.7
738,12
739,11.7
740,11.7
741,12
742,12
743,5-6
744,12
745,12
746,12
747,12
748,11.7
749,11.7
750,11.7
751,12
752,11.7
753,8-9
754,12
755,9-10
756,8-9
757,7-8
758,12
759,11.7
760,6
761,7.6
762,11.7
763,11.7
764,11.7
765,11.7
766,11.7
767,11.7
768,11.7
769,11.7
770,11.7
771,11.7
772,11.7
773,11.7
774,11.7
775,11.7
776,11.7
777,11.7
778,6
779,бухты
780,11.7
781,6
782,11.7
783,11.7
784,11.7
785,11.7
786,11.7
787,11.7
788,11.7
789,11.7
791,11.7
792,11.7
793,бухты
794,11.7
795,11.7
796,11.7
797,11.7
798,11.7
799,3.4-3.7
800,11.7
801,11.7
802,6.7
803,11.7
804,11.7
805,6
806,11.7
807,6
819,11.7
820,11.7
821,11.7
823,11.7
824,11.7
825,11.7
826,6 размотка
827,бухты
828,11.7
829,11.7
830,11.7
831,11.7
832,11.7
833,11.7
834,11.7
835,11.7
836,11.7
837,11.7
838,11.7
839,6
840,11.7
841,11.7
842,11.7
843,11.7
844,11.7
845,11.7
846,11.7
847,11.7
848,11.7
849,11.7
850,6
851,11.7
852,6.7
853,11.7
854,11.7
855,11.7
856,11.7
857,11.7 размотка
858,11.7
859,11.7
860,11.7
861,11.7
862,11.7
863,11.7
864,11.7
865,11.7
866,11.7
867,11.7
868,11.7
869,11.7
870,11.7
871,бухты
872,7.6
873,11.7
874,7.6
875,6.7
876,11.7
878,11.7
879,11.7
880,6 размотка
881,11.7 размотка
882,бухты
883,11.7
884,6
885,6 размотка
886,11.7
887,6 размотка
888,6.7
889,11.7
890,11.7
891,11.7
892,11.7
893,11.7
894,11.7
896,11.7
897,11.7
898,11.7
899,11.7
900,11.7
901,11.7
902,11.7
903,11.7
904,11.7
905,11.7
907,11.7
908,11.7
909,11.7
910,11.7
911,12
913,11.7
914,11.7
915,11.7
916,11.7
917,11.7
918,11.7
919,11.7
921,11.7
922,6
923,11.7
924,11.7
925,11.7
926,11.7
927,11.7
928,12
929,12
930,6
931,11.7
932,11.7
933,11.7
934,11.7
935,11.7
936,6
937,11.7
938,11.7
939,6
940,бухты
941,11.7
942,6
943,12
945,12
946,12
947,11.7
948,11.7
950,11.7
951,11.7
952,11.7
953,11.7
954,6 12
955,12
956,12
957,12
958,12
959,7.6
960,12
961,12
962,12
963,5.85
964,11.7
965,11.7
966,бухты
967,бухты
968,бухты
969,11.7
970,11.7
971,11.7
972,11.7
973,11.7 размотка
975,11.7
977,11.7
978,11.7
979,6
980,бухты
981,11.7
982,бухты
983,11.7
984,11.7
985,11.7
987,11.7
989,11.7
991,11.7
993,11.7
995,11.7
996,11.7
997,11.7
999,11.7
1001,11.7
1002,3
1003,бухты
1004,бухты
1005,11.7
1006,6 размотка
1007,11.7
1008,бухты
1009,бухты
1011,11.7 размотка
1012,11.7
1013,11.7
1014,11.7
1015,6.7
1016,11.7
1017,11.7
1018,11.7
1019,бухты
1020,6 размотка
1021,11.7
1022,6 размотка
1023,11.7 размотка
1024,6 размотка
1025,6
1026,11.7
1027,бухты
1028,11.7 размотка
1029,6 размотка
1030,11.7
1032,11.7
1034,6
1035,12
1036,бухты
1037,11.7 размотка
1039,5.85
1041,6
1042,11.7
1043,11.7
1044,11.7
1045,11.7
1046,11.7
1047,11.7
1048,11.7
1049,11.7
1050,11.7
1051,11.7
1052,11.7
1053,11.7
1054,11.7
1055,12
1056,11.7
1057,11.7
1058,11.7
1059,11.7
1060,бухты
1061,6
1062,11.7
1063,11.7
1064,11.7
1065,6.7
1066,11.7
1067,11.7
1068,11.7
1069,6.7
1070,11.7
1071,11.7
1072,12
1073,11.7
1074,11.7
1075,11.7
1076,11.7
1077,11.7
1078,бухты
1079,6 размотка
1080,11.7
1081,11.7
1082,11.7
1083,11.7
1084,11.7
1085,6
1086,6 размотка
1087,бухты
1088,бухты
1089,бухты
1090,11.7
1091,6
1092,11.7
1093,6
1094,11.7
1095,11.7 размотка
1096,бухты
1097,бухты
1098,12
1099,11.7
1100,11.7
1101,11.7
1102,11.7
1103,11.7
1104,11.7
1105,11.7
1106,11.7
1108,6.7
1109,11.7
1110,11.7
1111,7.6
1112,11.7
1113,11.7
1114,бухты
1115,11.7
1116,11.7
1117,6 размотка
1118,6 размотка
1119,11.7
1120,11.7
1121,11.7
1122,11.7
1123,11.7
1124,11.7
1125,11.7
1126,11.7
1127,11.7
1129,11.7
1131,11.7
1132,11.7
1133,11.7
1135,11.7
1136,11.7
1137,11.7
1139,11.7
1140,11.7
1142,бухты
1143,6 размотка
1145,11.7
1146,11.7
1147,11.7
1148,11.7
1149,11.7
1150,11.7
1152,11.7
1153,11.7
1154,12
1155,6
1156,бухты
1157,11.7
1158,11.7
1160,11.7
1162,11.7
1163,бухты
1164,6.7
1165,бухты
1166,11.7
1167,11.7
1168,11.7
1169,7.6
1170,7.6
1171,11.7
1174,6.7
1175,11.7
1176,7.6
1177,6.7
1178,7.6
1179,6.7
1180,6.7
1181,7.6
1182,6.7
1183,6.7
1184,7.6
1185,11.7
1186,6.7
1187,11.7
1188,6.7
1189,11.7
1190,7.6
1192,6.7
1193,6.7
1194,6.7
1195,11.7
1196,11.7
1197,6.7
1198,7.6
1199,7.6
1201,6.7
1202,7.6
1203,7.6
1204,7.6
1205,6.7
1206,7.6
1207,12
1208,11.7
1209,6.7
1210,6.7
1211,12
1212,12
1213,12
1214,12
1215,12
1216,12
1217,12
1218,12
1219,12
1220,12
1221,12
1222,12
1223,12
1224,12
1225,12
1226,12
1227,12
1228,12
1229,12
1230,12
1231,12
1232,12
1233,12
1234,12
1235,12
1236,12
1237,12
1238,12
1239,12
1240,12
1241,12
1242,12
1243,12
1244,12
1245,12
1246,12
1247,12
1248,12
1249,12
1250,12
1251,12
1252,12
1253,12
1254,12
1255,12
1256,12
1257,12
1258,12
1259,12
1260,12
1261,12
1262,12
1263,12
1264,12
1265,12
1266,12
1267,12
1268,12
1269,12
1270,12
1271,12
1272,12
1273,12
1274,12
1275,12
1276,12
1277,12
1278,12
1279,12
1280,12
1281,12
1282,12
1283,12
1284,12
1285,12
1286,12
1287,12
1288,12
1289,12
1290,12
1291,12
1292,12
1293,12
1294,12
1295,12
1296,12
1297,12
1298,12
1299,12
1300,12
1301,12
1302,12
1303,12
1304,12
1305,12
1306,12
1307,12
1308,12
1309,12
1310,12
1311,12
1312,12
1313,12
1314,12
1315,12
1316,12
1317,12
1318,12
1319,12
1320,12
1321,12
1322,12
1323,12
1324,12
1325,12
1326,12
1327,4
1329,12
1330,12
1331,6
1332,12
1333,12
1334,12
1335,12
1336,12
1337,6
1338,12
1339,12
1340,12
1345,12
1350,12
1352,12
1353,12
1354,12
1355,12
1356,12
1357,12
1358,12
1359,12
1360,12
1361,12
1362,12
1363,12
1364,12
1365,12
1366,12
1367,12
1368,12
1369,12
1370,12
1371,12
1372,12
1373,12
1374,12
1375,12
1376,12
1377,12
1378,12
1379,12
1380,12
1381,12
1382,12
1383,12
1384,12
1385,12
1386,12
1387,12
1388,12
1389,12
1390,12
1391,12
1392,12
1393,12
1394,12
1395,12
1396,12
1397,12
1398,12
1399,12
1400,12
1401,12
1402,12
1403,12
1404,12
1405,12
1406,12
1407,12
1408,12
1409,12
1410,12
1411,12
1412,12
1413,12
1414,12
1415,12
1416,12
1417,12
1418,12
1419,12
1420,12
1421,12
1422,12
1423,12
1424,12
1425,12
1426,12
1427,12
1428,12
1429,12
1430,12
1431,12
1432,12
1433,12
1434,12
1435,12
1436,12
1437,12
1438,12
1439,12
1440,12
1441,12
1442,12
1443,12
1444,12
1445,12
1446,12
1447,12
1448,12
1449,12
1450,12
1451,12
1452,12
1453,12
1454,12
1455,12
1456,12.05
1457,12
1458,12
1459,12
1460,12
1461,12
1462,12
1463,12
1464,12
1465,12
1466,12
1467,12
1468,12
1469,12
1470,12
1471,12
1472,12
1473,12
1474,12
1475,12
1476,12
1477,12
1478,12
1479,12
1480,12
1481,12
1482,12
1483,12
1484,12
1485,12
1486,12
1487,12
1488,12
1489,12
1490,12
1491,12
1492,12
1493,12
1494,12
1495,12
1496,12
1497,12
1498,12
1499,12
1500,12
1501,12
1502,12
1503,12
1504,12
1505,12
1506,12
1507,12
1508,12
1509,12
1510,12
1511,12
1512,12
1513,12
1514,12
1515,12
1516,12
1517,12
1518,12
1519,12
1520,12
1521,12
1522,12
1523,12
1524,12
1525,12
1526,12
1527,12
1528,12
1529,12
1530,12
1531,12
1532,12
1533,12
1534,12
1535,12
1536,12
1537,12
1538,12
1539,12
1540,12
1541,12
1542,12
1543,12
1544,12
1545,12
1546,12
1547,12
1548,12
1549,12
1550,12
1551,12
1552,12
1553,12
1554,12
1555,12
1556,12
1557,12
1558,12
1559,12
1560,12
1561,12
1562,12
1563,12
1564,12
1565,12
1566,12
1567,12
1568,12
1569,12
1570,12
1571,12
1572,12
1573,12
1574,12
1575,12
1576,12
1577,12
1578,12
1579,12
1580,12
1581,12
1582,12
1583,12
1584,12
1585,12
1586,12
1587,12
1588,12
1589,12
1590,12
1591,12
1592,12
1593,12
1594,12
1595,12.05
1596,12
1597,12.05
1598,12
1599,12
1600,12
1601,12
1602,12
1603,12
1604,12
1605,12
1606,12
1607,12
1608,12
1609,12
1610,12
1611,12
1612,12
1613,12
1614,12
1615,12
1617,8-11
1618,12
1619,12
1620,12
1621,12
1622,12
1623,12
1624,12
1625,12
1626,12
1627,12
1628,12
1629,12
1630,12
1631,12
1632,12
1633,12
1634,12
1635,12
1636,12
1637,12
1638,12
1639,12
1640,12
1641,12
1642,12
1643,12
1644,12
1645,12
1646,12
1647,12
1648,12
1649,12
1650,12
1651,12
1652,12
1653,12
1654,12
1655,12
1656,12
1657,12
1658,12
1659,12
1660,12
1661,12.1
1662,12
1663,12
1664,12
1665,12
1666,12
1667,12
1668,12
1669,12
1670,12
1671,12
1672,12
1673,12
1674,12
1675,12
1676,12
1677,12
1678,12
1679,12
1680,12
1681,12
1682,12
1683,12
1684,12
1685,12
1686,12
1687,12
1688,12
1689,12
1690,12
1691,12
1692,12
1693,12
1694,12
1695,12
1696,12
1697,12.1
1698,12.1
1699,12
1700,12
1701,12
1702,12
1703,12
1704,12
1705,12
1706,12
1707,12
1708,12
1709,12
1710,12
1711,12
1712,12
1713,12
1714,12
1715,12
1716,12
1717,12
1718,12
1719,12
1720,12
1721,12
1722,12
1723,12
1724,12
1725,12
1726,12
1727,12
1728,12
1729,12
1730,12
1731,12.1
1732,12
1733,12
1734,12.1
1735,12.1
1736,10.3
1737,12
1738,12.1
1739,12
1740,12
1741,7.2
1742,11.5
1743,11.9
1744,11
1745,12
1746,13.5
1747,15.1
1748,7
1749,8.5
1750,11.3
1751,12
1752,12
1753,12
1754,12
1755,12
1756,12
1757,12
1758,12
1759,9.9
1760,12
1761,7.4
1762,12.1
1763,12.1
1764,11.4
1765,12
1766,12
1767,12
1768,12
1769,12
1770,12
1771,12
1772,12
1773,12
1774,12
1775,12
1776,12
1777,12
1778,12
1779,12
1780,12
1781,12
1782,12
1783,12
1784,12
1785,12
1786,12
1787,12
1788,12
1789,12
1790,12
1791,12
1792,12
1793,12
1794,12
1795,12
1796,12
1797,12
1798,12
1799,12
1800,12
1801,12
1802,12
1803,12
1804,12
1805,12
1806,12
1807,12
1808,12
1809,12
1810,12
1811,12
1812,12
1813,12
1814,12
1815,12
1816,12
1817,12
1818,12
1819,12
1820,12
1821,12
1822,12
1823,12
1824,12
1825,12
1826,12
1827,12
1828,12
1829,12
1830,12
1831,12
1832,12
1833,12
1834,12
1835,12
1836,12
1837,12
1838,12
1839,12
1840,12
1841,12
1842,12
1843,12
1844,12
1845,12
1846,12
1847,12
1848,12
1849,12
1850,12
1851,12
1852,12
1853,12
1854,12
1855,12
1856,12
1857,12
1858,12
1859,12
1860,12
1861,12
1862,12
1863,12
1864,12
1865,12
1866,12
1867,12
1868,12
1869,12
1870,12
1871,12
1872,12
1873,12
1874,12
1875,12
1876,12
1877,12
1878,12
1879,12
1880,12
1881,12
1882,12
1883,12
1884,12
1885,12
1886,12
1887,12
1888,12
1889,12
1890,12
1891,12
1892,12
1893,12
1894,12
1895,12
1896,12
1897,12
1898,12
1899,12
1900,12
1901,12
1902,12
1903,12
1904,12
1905,12
1906,12
1907,12
1908,12
1909,12
1910,12
1911,12
1912,12
1913,12
1914,12
1915,12
1916,12
1917,12
1918,12
1919,12
1920,12
1921,12
1922,12
1923,12
1924,12
1925,12
1926,12
1927,12
1928,12
1929,12
1930,12
1931,12
1932,12
1933,12
1934,12
1935,12
1936,12
1937,12
1938,12
1939,12
1940,12
1941,12
1942,12
1943,12
1944,12
1945,12
1946,12
1947,12
1948,12
1949,12
1950,12
1951,12
1952,12
1953,12
1954,12
1955,12
1956,12
1957,12
1958,12
1959,12
1960,12
1961,12
1962,12
1963,12
1964,12
1965,12
1966,12
1967,12
1968,12
1969,12
1970,12
1971,12
1972,12
1973,12
1974,12
1975,12
1976,12
1977,12
1978,12
1979,12
1980,10.5
1981,12
1982,12
1983,12
1984,12
1985,12
1986,12
1987,12
1988,12
1989,12
1990,12
1991,12
1992,12
1993,12
1994,12
1995,12
1996,12
1997,12
1998,12
1999,12
2000,12
2001,12
2002,12
2003,12
2004,12
2005,12
2006,12
2007,12
2008,12
2009,12
2010,12
2011,12
2012,12
2013,12
2014,12
2015,12
2016,12
2017,12
2018,12
2019,12
2020,12
2021,12
2022,10
2023,12
2024,13.1
2025,12
2026,12
2027,12
2028,12
2029,12
2030,12
2031,12
2032,12
2033,12
2034,12
2035,12
2036,12
2037,12
2038,12
2039,12
2040,12
2041,12
2042,12
2043,12
2044,12
2045,12
2046,12
2047,12
2048,12
2049,12
2050,12
2051,12
2052,12
2053,12
2054,12
2055,6
2056,12
2057,12
2058,12
2059,12
2060,12
2061,6
2062,12
2063,12
2064,12
2065,12
2066,12
2067,12
2068,12
2069,12
2070,12
2071,12
2072,12
2073,12
2074,12
2075,12
2076,12
2077,12
2078,12
2079,12
2080,12
2081,12
2082,12
2083,12
2084,12
2085,12
2086,12
2087,12
2088,15.1
2089,5.9
2090,12
2091,12
2092,12
2093,12
2094,8
2095,12
2096,12
2097,12.2
2098,12
2099,12
2100,12
2101,12
2102,12
2103,12
2104,10.5
2105,10
2106,12
2107,12
2108,12
2109,12
2110,10
2111,11.6
2112,12
2113,12
2114,12
2115,11.6
2116,12
2117,12
2118,12
2119,12
2120,12
2121,12
2122,12
2123,12
2124,12
2125,12
2126,12
2127,12
2128,12
2129,12
2130,12
2131,12
2132,12
2133,12
2134,12
2135,12
2136,12
2137,12
2138,12
2139,12
2140,12
2141,12
2142,12
2143,12
2144,12
2145,12
2146,12
2147,12
2148,12
2149,12
2150,12
2151,12
2152,12
2153,12
2154,12
2155,12
2156,12
2157,12
2158,12
2159,12
2160,12
2161,12
2162,12
2163,12
2164,12
2165,12
2166,12
2167,12
2168,12
2169,12
2170,12
2171,12
2172,12
2173,12
2174,12
2175,12
2176,12
2177,12
2178,12
2179,12
2180,12
2181,12
2182,12
2183,12
2184,12
2185,12
2186,12
2187,12
2188,12
2189,12
2190,12
2191,12
2192,12
2193,12
2194,12
2195,12
2196,12
2198,12
2200,12
2201,12
2202,12
2203,12
2204,12
2206,12
2207,12
2208,12
2209,12
2210,12
2211,12
2212,12
2213,12
2214,12
2215,12
2216,12
2217,12
2218,12
2219,12
2220,12
2221,12
2222,12
2223,12
2224,12
2225,6
2226,12
2228,12
2229,12
2230,12
2231,12
2232,12
2233,12
2234,12
2235,12
2236,12
2237,12
2238,12
2239,12
2240,12
2241,12
2242,12
2244,12
2245,12
2246,12
2248,12
2249,12
2250,12
2251,12
2252,12
2253,12
2254,12
2255,12
2256,12
2257,12
2258,12
2259,12
2260,12
2261,12
2262,12
2263,12
2264,12
2265,12
2266,12
2267,12
2268,12
2269,12
2271,12
2272,12
2273,6
2274,6
2275,12 с ост.
2276,12
2277,12 с ост.
2278,12 с ост.
2279,12 с ост.
2280,12
2281,6
2282,12
2283,12 с ост.
2284,12
2285,12
2286,12
2288,12
2289,12
2290,12
2291,12
2292,12
2293,12
2294,12
2295,10.5
2296,12
2297,12
2298,12
2299,12
2300,12
2301,12
2302,12
2303,12
2305,12
2306,12
2307,12
2308,12
2309,12
2310,12
2311,12
2312,12
2313,12
2315,12
2316,12
2317,12
2318,12
2319,12
2320,12
2321,12
2322,12
2323,12
2324,12
2325,12
2326,12
2327,12
2328,12
2329,12
2330,12
2331,12
2333,12
2334,12
2335,12
2336,12
2337,12
2338,12
2339,12
2340,12
2341,12
2342,12
2343,12
2344,12
2345,12
2346,12
2347,12
2348,12
2349,12
2350,12
2351,12
2352,12
2353,12
2354,12
2355,12
2356,12
2357,12
2358,12
2359,12
2360,12
2361,12
2362,12
2364,12
2365,12
2366,12
2367,12
2368,12
2369,12
2370,12
2371,12
2372,12
2373,12
2374,12
2375,12
2376,12
2377,12
2378,10.2
2379,12
2380,11.2
2381,12
2382,12
2383,12
2384,12
2385,12
2386,12
2387,12
2388,12
2389,12
2390,12
2391,12
2392,12
2393,12
2394,12
2395,12
2396,12
2397,12
2398,12
2399,12
2400,12
2401,12
2402,12
2403,12
2404,12
2405,12
2406,12
2407,12
2408,12
2409,12
2410,12
2411,12
2412,12
2413,12
2414,12
2415,12
2416,12
2417,12
2418,12
2419,12
2420,12
2421,12
2422,12
2423,12
2424,12
2425,12
2426,12
2427,12
2428,12
2429,12
2430,12
2431,12
2432,12
2433,12
2434,12
2435,12
2436,12
2437,12
2438,12
2439,12
2440,12
2441,12
2442,12
2443,12
2444,12
2445,12
2446,12
2447,12
2448,12
2449,12
2450,12
2451,12
2452,12
2453,12
2454,12
2455,12
2456,12
2457,12
2458,12
2459,12
2460,12
2461,12
2462,12
2463,12
2464,12
2465,12
2470,12
2471,12
2472,12
2473,12
2474,12
2475,12
2476,12
2477,12
2478,12
2479,12
2480,12
2481,12
2482,12
2483,12
2484,12
2485,12
2486,12
2487,12
2488,12
2489,12
2490,12 с ост.
2491,9
2492,11.5
2493,12
2494,12
2495,15
2496,12
2497,12
2498,12
2499,15
2500,11.4
2501,9.5
2502,10
2503,10
2504,10
2505,8
2506,12
2507,11.5
2508,7.2
2509,12
2510,12
2511,10
2512,8
2513,10.5
2514,8
2515,10
2516,6.9
2517,12.2
2518,10
2519,12
2520,8
2521,8
2522,10
2523,12
2524,10
2525,8
2526,11
2527,8
2528,10
2529,8
2530,10
2531,12
2532,8
2533,12
2534,10
2535,8
2536,10
2537,11.45
2538,8
2539,12
2540,10
2541,10
2542,12
2543,13.3
2544,9
2545,12
2546,10
2547,12
2548,10
2549,10
2550,12
2551,15
2552,12.2
2553,8
2554,12
2555,8
2556,10
2557,10
2558,10.6
2559,11.8
2560,8
2561,8
2562,12
2563,10
2564,10
2565,9.1
2566,10.9
2567,12
2568,12
2569,9.5
2570,10
2571,7
2572,8
2573,9.5
2574,10
2575,11.5
2576,8
2577,12
2578,12
2579,12
2580,12.2
2581,10
2582,11.5
2583,12
2584,10
2585,10
2586,12
2587,12
2588,10
2589,8.5
2590,11.1
2591,9.1
2592,8.1
2593,8
2594,8
2595,12
2596,10
2597,8
2598,8
2599,12
2600,12
2601,8
2602,10
2603,10
2604,10
2605,8
2606,10
2607,10
2608,12
2609,8
2610,12
2611,8
2612,12
2613,12
2614,12
2615,8
2616,10
2617,9
2618,9
