,Размер
5988,65
5989,32
5990,22
5991,22
5992,20
5993,20
5994,20
5995,20
5996,20
5997,20
5998,22
5999,18
6000,18
6001,18
6002,18
6003,18
6004,16
6005,16
6006,16
6007,16
6008,18
6009,22
6010,22
6011,24
6012,28
6013,28
6014,28
6015,28
6016,28
6017,18
6018,26
6019,25
6020,25
6021,25
6022,25
6023,25
6024,25
6025,36
6026,36
6027,24
6028,24
6029,24
6030,24
6031,16
6032,28
6033,14
6034,14
6035,22
6036,24
6037,24
6038,24
6039,24
6040,24
6041,25
6042,25
6043,22
6044,25
6045,25
6046,28
6047,28
6048,28
6049,30
6050,10
6051,30
6052,30
6053,25
6054,20
6055,20
6056,20
6057,14
6058,14
6059,14
6060,34
6061,200
6062,10
6063,12
6064,12
6065,14
6066,16
6067,16
6068,16
6069,16
6070,16
6071,18
6072,18
6073,20
6074,20
6075,20
6076,14
6077,75
6078,30
6079,30
6080,50
6081,50
6082,50
6083,50
6084,70
6085,70
6086,48
6087,48
6088,50
6089,48
6090,70
6091,45
6092,45
6093,45
6094,45
6095,45
6096,70
6097,70
6098,48
6099,50
6100,52
6101,52
6102,65
6103,65
6104,60
6105,60
6106,60
6107,60
6108,60
6109,65
6110,60
6111,56
6112,56
6113,56
6114,56
6115,56
6116,65
6117,52
6118,52
6119,52
6120,52
6121,45
6122,42
6123,42
6124,42
6125,35
6126,75
6127,34
6128,34
6129,34
6130,34
6131,34
6132,34
6133,32
6134,32
6135,32
6136,32
6137,32
6138,32
6139,30
6140,30
6141,30
6142,75
6143,30
6144,35
6145,30
6146,36
6147,36
6148,42
6149,42
6150,42
6151,40
6152,40
6153,40
6154,40
6155,40
6156,40
6157,70
6158,38
6159,38
6160,38
6161,38
6162,38
6163,36
6164,36
6165,36
6166,36
6167,36
6168,30
6169,30
6170,32
6171,40
6172,42
6173,160
6174,34
6175,160
6176,36
6177,160
6178,42
6179,40
6180,42
6181,170
6182,16
6183,45
6184,45
6185,190
6186,190
6187,190
6188,190
6189,170
6190,150
6191,150
6192,25
6193,110
6194,110
6195,32
6196,120
6197,120
6198,120
6199,120
6200,120
6201,120
6202,125
6203,130
6204,130
6205,130
6206,130
6207,130
6208,38
6209,140
6210,38
6211,40
6212,45
6213,110
6214,45
6215,56
6216,100
6217,56
6218,56
6219,300
6220,56
6221,60
6222,200
6223,60
6224,52
6225,60
6226,65
6227,65
6228,12
6229,12
6230,12
6231,12
6232,12
6233,12
6234,65
6235,100
6236,90
6237,52
6238,210
6239,48
6240,60
6241,220
6242,48
6243,60
6244,220
6245,230
6246,65
6247,230
6248,65
6249,50
6250,250
6251,50
6252,75
6253,250
6254,50
6255,65
6256,80
6257,32
6258,110
6259,120
6260,110
6261,45
6262,48
6263,48
6264,48
6265,50
6266,50
6267,50
6268,50
6269,50
6270,50
6271,52
6272,56
6273,56
6274,56
6275,56
6276,56
6277,56
6278,60
6279,60
6280,45
6281,60
6282,45
6283,45
6284,32
6285,36
6286,36
6287,36
6288,36
6289,36
6290,36
6291,36
6292,40
6293,40
6294,40
6295,40
6296,40
6297,40
6298,42
6299,42
6300,42
6301,42
6302,42
6303,45
6304,60
6305,60
6306,60
6307,90
6308,90
6309,90
6310,90
6311,90
6312,90
6313,90
6314,95
6315,95
6316,100
6317,100
6318,100
6319,100
6320,100
6321,100
6322,105
6323,105
6324,105
6325,110
6326,85
6327,60
6328,85
6329,160
6330,70
6331,70
6332,75
6333,85
6334,75
6335,75
6336,70
6337,80
6338,65
6339,80
6340,80
6341,80
6342,65
6343,80
6344,80
6345,65
6346,70
6347,70
6348,30
6349,25
6350,150
6351,18
6352,170
6353,140
6354,115
6355,90
6356,90
6357,140
6358,240
6359,200
6360,160
6361,160
6362,160
6363,170
6364,170
6365,170
6366,180
6367,180
6368,190
6369,190
6370,200
6371,200
6372,200
6373,200
6374,200
6375,160
6376,150
6377,150
6378,150
6379,340
6380,340
6381,340
6382,340
6383,350
6384,350
6385,350
6386,210
6387,350
6388,140
6389,140
6390,140
6391,140
6392,150
6393,150
6394,150
6395,140
6396,330
6397,210
6398,220
6399,290
6400,300
6401,300
6402,300
6403,310
6404,310
6405,310
6406,320
6407,320
6408,330
6409,330
6410,330
6411,330
6412,340
6413,340
6414,290
6415,280
6416,280
6417,200
6418,220
6419,250
6420,230
6421,240
6422,240
6423,240
6424,250
6425,210
6426,250
6427,260
6428,270
6429,270
6430,270
6431,270
6432,280
6433,280
6434,260
6435,330
6436,330
6437,320
6438,270
6439,270
6440,270
6441,270
6442,270
6443,220
6444,220
6445,270
6446,220
6447,270
6448,270
6449,280
6450,220
6451,280
6452,220
6453,260
6454,260
6455,260
6456,260
6457,240
6458,240
6459,240
6460,240
6461,230
6462,230
6463,230
6464,220
6465,230
6466,250
6467,250
6468,250
6469,260
6470,260
6471,260
6472,260
6473,230
6474,210
6475,210
6476,210
6477,280
6478,280
6479,290
6480,290
6481,290
6482,290
6483,290
6484,280
6485,300
6486,300
6487,310
6488,310
6489,310
6490,310
6491,320
6492,320
6493,130
6494,350
6495,280
6496,105
6497,210
6498,210
6499,210
6500,200
6501,200
6502,200
6503,200
6504,100
6505,200
6506,190
6507,190
6508,190
6509,170
6510,130
6511,120
6512,120
6513,190
6514,350
6515,280
6516,230
6517,220
6518,230
6519,240
6520,240
6521,220
6522,220
6523,250
6524,250
6525,260
6526,260
6527,160
6528,180
6529,270
6530,280
6531,300
6532,290
6533,210
6534,270
6535,230
6536,280
6537,290
6538,250
6539,260
6540,280
6541,240
6542,270
6543,350
6544,320
6545,230
6546,300
6547,290
6548,310
6549,200
6550,25
6551,55
6552,50
6553,45
6554,40
6555,14
6556,8
6557,195
6558,50
6559,12
6560,20
6561,10
6562,34
6563,35
6564,60
6565,70
6566,40
6567,150
6568,110
6569,10
6570,130
6571,22
6572,150
6573,120
6574,150
6575,150
6576,150
6577,110
6578,80
6579,28
6580,75
6581,8
6582,110
6583,8
6584,75
6585,80
6586,160
6587,25
6588,160
6589,80
6590,20
6591,80
6592,25
6593,80
6594,85
6595,150
6596,85
6597,16
6598,140
6599,95
6600,16
6601,120
6602,12
6603,100
6604,12
6605,100
6606,12
6607,120
6608,130
6609,100
6610,100
6611,130
6612,100
6613,12
6614,16
6615,85
6616,90
6617,120
6618,20
6619,130
6620,85
6621,20
6622,20
6623,10
6624,140
6625,20
6626,120
6627,140
6628,90
6629,140
6630,90
6631,75
6632,90
6633,140
6634,110
6635,110
6636,90
6637,30
6638,170
6639,45
6640,240
6641,230
6642,220
6643,55
6644,220
6645,220
6646,220
6647,210
6648,240
6649,210
6650,200
6651,40
6652,60
6653,60
6654,40
6655,30
6656,60
6657,40
6658,40
6659,60
6660,45
6661,240
6662,250
6663,50
6664,50
6665,50
6666,50
6667,50
6668,50
6669,50
6670,300
6671,52
6672,280
6673,270
6674,55
6675,260
6676,250
6677,55
6678,45
6679,45
6680,55
6681,250
6682,45
6683,45
6684,60
6685,60
6686,60
6687,70
6688,180
6689,35
6690,180
6691,35
6692,170
6693,70
6694,32
6695,32
6696,70
6697,70
6698,170
6699,30
6700,70
6701,30
6702,30
6703,30
6704,170
6705,170
6706,170
6707,180
6708,30
6709,35
6710,180
6711,40
6712,60
6713,30
6714,40
6715,75
6716,200
6717,35
6718,40
6719,65
6720,65
6721,65
6722,65
6723,190
6724,40
6725,190
6726,190
6727,200
6728,12.3
6729,3
6730,12.5
6731,40
6732,30
6733,20
6734,25
6735,10
6736,22
6737,18
6738,18
6739,22
6740,50
6741,80
6742,22
6743,48
6744,35
6745,45
6746,24
6747,60
6748,50
6749,24
6750,25
6751,20
6752,75
6753,75
6754,16
6755,200
6756,200
6757,200
6758,200
6759,200
6760,200
6761,200
6762,210
6763,200
6764,200
6765,200
6766,200
6767,200
6768,200
6769,190
6770,190
6771,190
6772,200
6773,210
6774,12
6775,200
6776,210
6777,210
6778,210
6779,210
6780,210
6781,210
6782,210
6783,210
6784,210
6785,210
6786,210
6787,200
6788,200
6789,200
6790,200
6791,200
6792,200
6793,200
6794,200
6795,200
6796,200
6797,190
6798,210
6799,190
6800,210
6801,230
6802,240
6803,240
6804,180
6805,180
6806,180
6807,180
6808,180
6809,180
6810,180
6811,180
6812,180
6813,180
6814,180
6815,180
6816,180
6817,180
6818,180
6819,180
6820,250
6821,260
6822,230
6823,190
6824,230
6825,220
6826,190
6827,190
6828,190
6829,190
6830,190
6831,190
6832,190
6833,190
6834,190
6835,190
6836,190
6837,190
6838,180
6839,180
6840,180
6841,180
6842,180
6843,180
6844,220
6845,220
6846,220
6847,230
6848,210
6849,210
6850,260
6851,220
6852,220
6853,220
6854,220
6855,220
6856,220
6857,220
6858,220
6859,210
6860,220
6861,210
6862,210
6863,210
6864,140
6865,140
6866,140
6867,140
6868,140
6869,140
6870,140
6871,210
6872,220
6873,220
6874,220
6875,230
6876,230
6877,230
6878,230
6879,230
6880,230
6881,230
6882,230
6883,230
6884,230
6885,230
6886,230
6887,220
6888,220
6889,220
6890,220
6891,220
6892,220
6893,220
6894,220
6895,220
6896,150
6897,150
6898,150
6899,150
6900,180
6901,180
6902,180
6903,190
6904,190
6905,190
6906,190
6907,190
6908,190
6909,200
6910,200
6911,200
6912,200
6913,200
6914,200
6915,200
6916,200
6917,200
6918,210
6919,210
6920,210
6921,180
6922,210
6923,180
6924,180
6925,150
6926,150
6927,150
6928,150
6929,155
6930,155
6931,160
6932,160
6933,160
6934,160
6935,160
6936,160
6937,160
6938,160
6939,160
6940,170
6941,170
6942,170
6943,170
6944,170
6945,170
6946,180
6947,260
6948,270
6949,270
6950,130
6951,130
6952,125
6953,125
6954,125
6955,125
6956,120
6957,120
6958,120
6959,130
6960,120
6961,120
6962,120
6963,120
6964,120
6965,120
6966,120
6967,120
6968,120
6969,120
6970,120
6971,130
6972,130
6973,130
6974,140
6975,140
6976,140
6977,140
6978,140
6979,140
6980,140
6981,140
6982,140
6983,140
6984,130
6985,130
6986,130
6987,130
6988,130
6989,130
6990,130
6991,130
6992,130
6993,130
6994,130
6995,120
6996,120
6997,120
6998,120
6999,110
7000,110
7001,110
7002,110
7003,110
7004,110
7005,110
7006,110
7007,110
7008,110
7009,110
7010,105
7011,105
7012,105
7013,105
7014,105
7015,105
7016,105
7017,105
7018,100
7019,100
7020,110
7021,140
7022,110
7023,110
7024,120
7025,120
7026,120
7027,120
7028,120
7029,120
7030,115
7031,115
7032,115
7033,115
7034,115
7035,115
7036,110
7037,110
7038,110
7039,110
7040,110
7041,110
7042,110
7043,110
7044,110
7045,110
7046,140
7047,140
7048,140
7049,170
7050,170
7051,170
7052,170
7053,170
7054,170
7055,170
7056,160
7057,160
7058,160
7059,160
7060,160
7061,160
7062,160
7063,160
7064,160
7065,160
7066,160
7067,160
7068,160
7069,160
7070,170
7071,160
7072,170
7073,170
7074,270
7075,270
7076,280
7077,280
7078,180
7079,180
7080,180
7081,180
7082,170
7083,170
7084,170
7085,170
7086,170
7087,170
7088,170
7089,170
7090,170
7091,170
7092,14
7093,170
7094,170
7095,170
7096,230
7097,160
7098,160
7099,150
7100,150
7101,150
7102,150
7103,150
7104,150
7105,150
7106,150
7107,150
7108,140
7109,140
7110,140
7111,140
7112,140
7113,140
7114,140
7115,140
7116,140
7117,140
7118,140
7119,140
7120,150
7121,160
7122,150
7123,150
7124,160
7125,160
7126,160
7127,160
7128,160
7129,160
7130,160
7131,160
7132,150
7133,150
7134,150
7135,150
7136,150
7137,150
7138,150
7139,150
7140,150
7141,150
7142,150
7143,150
7144,150
7145,150
7146,230
7147,230
7148,100
7149,38
7150,38
7151,38
7152,38
7153,40
7154,40
7155,40
7156,40
7157,40
7158,36
7159,40
7160,40
7161,40
7162,42
7163,42
7164,42
7165,42
7166,42
7167,42
7168,45
7169,40
7170,36
7171,36
7172,36
7173,30
7174,30
7175,30
7176,30
7177,32
7178,32
7179,32
7180,32
7181,32
7182,32
7183,34
7184,34
7185,34
7186,34
7187,34
7188,35
7189,35
7190,35
7191,35
7192,35
7193,36
7194,45
7195,45
7196,45
7197,45
7198,56
7199,56
7200,56
7201,56
7202,56
7203,56
7204,56
7205,60
7206,60
7207,60
7208,60
7209,60
7210,60
7211,60
7212,60
7213,60
7214,60
7215,60
7216,270
7217,270
7218,65
7219,55
7220,30
7221,55
7222,55
7223,48
7224,48
7225,48
7226,48
7227,48
7228,48
7229,50
7230,50
7231,50
7232,50
7233,50
7234,50
7235,50
7236,50
7237,50
7238,52
7239,52
7240,52
7241,52
7242,55
7243,55
7244,55
7245,65
7246,30
7247,30
7248,280
7249,280
7250,280
7251,270
7252,270
7253,270
7254,270
7255,270
7256,270
7257,280
7258,270
7259,270
7260,270
7261,270
7262,270
7263,270
7264,270
7265,8
7266,8
7267,10
7268,270
7269,280
7270,280
7271,280
7272,290
7273,290
7274,290
7275,290
7276,290
7277,290
7278,290
7279,290
7280,280
7281,280
7282,280
7283,280
7284,280
7285,280
7286,280
7287,280
7288,280
7289,280
7290,280
7291,280
7292,280
7293,10
7294,10
7295,12
7296,12
7297,22
7298,24
7299,24
7300,24
7301,25
7302,25
7303,25
7304,26
7305,26
7306,26
7307,26
7308,26
7309,28
7310,28
7311,28
7312,28
7313,28
7314,28
7315,30
7316,30
7317,30
7318,22
7319,30
7320,22
7321,22
7322,12
7323,12
7324,14
7325,14
7326,14
7327,14
7328,15
7329,15
7330,16
7331,16
7332,16
7333,16
7334,16
7335,18
7336,18
7337,18
7338,18
7339,20
7340,20
7341,20
7342,20
7343,22
7344,65
7345,65
7346,65
7347,100
7348,100
7349,100
7350,100
7351,100
7352,100
7353,100
7354,100
7355,100
7356,240
7357,100
7358,105
7359,105
7360,105
7361,105
7362,105
7363,110
7364,110
7365,110
7366,110
7367,105
7368,240
7369,240
7370,240
7371,250
7372,250
7373,250
7374,250
7375,250
7376,250
7377,250
7378,250
7379,250
7380,250
7381,240
7382,240
7383,240
7384,240
7385,240
7386,240
7387,240
7388,240
7389,240
7390,240
7391,240
7392,110
7393,110
7394,110
7395,110
7396,130
7397,130
7398,130
7399,240
7400,240
7401,240
7402,240
7403,240
7404,240
7405,240
7406,240
7407,240
7408,230
7409,230
7410,230
7411,230
7412,230
7413,230
7414,230
7415,230
7416,230
7417,130
7418,250
7419,130
7420,130
7421,110
7422,110
7423,115
7424,115
7425,120
7426,120
7427,120
7428,120
7429,120
7430,120
7431,120
7432,120
7433,120
7434,120
7435,120
7436,120
7437,125
7438,125
7439,130
7440,130
7441,130
7442,130
7443,250
7444,250
7445,250
7446,80
7447,80
7448,80
7449,80
7450,80
7451,80
7452,270
7453,260
7454,260
7455,260
7456,260
7457,260
7458,260
7459,260
7460,260
7461,260
7462,260
7463,260
7464,260
7465,260
7466,260
7467,80
7468,260
7469,80
7470,80
7471,65
7472,65
7473,65
7474,70
7475,70
7476,70
7477,70
7478,70
7479,70
7480,70
7481,70
7482,70
7483,70
7484,75
7485,75
7486,75
7487,75
7488,75
7489,75
7490,75
7491,80
7492,80
7493,230
7494,260
7495,260
7496,90
7497,90
7498,90
7499,90
7500,95
7501,95
7502,95
7503,95
7504,95
7505,95
7506,95
7507,100
7508,100
7509,50
7510,50
7511,45
7512,45
7513,42
7514,42
7515,40
7516,40
7517,90
7518,260
7519,90
7520,90
7521,260
7522,260
7523,260
7524,250
7525,250
7526,250
7527,250
7528,250
7529,250
7530,250
7531,250
7532,250
7533,85
7534,85
7535,85
7536,85
7537,85
7538,85
7539,90
7540,90
7541,90
7542,90
7543,100
7544,100
7545,12
7546,105
7547,105
7548,105
7549,105
7550,110
7551,110
7552,110
7553,110
7554,110
7555,100
7556,110
7557,110
7558,110
7559,110
7560,115
7561,115
7562,120
7563,120
7564,120
7565,120
7566,110
7567,100
7568,100
7569,100
7570,85
7571,85
7572,85
7573,85
7574,85
7575,90
7576,90
7577,90
7578,90
7579,90
7580,90
7581,90
7582,90
7583,90
7584,95
7585,95
7586,95
7587,95
7588,100
7589,100
7590,100
7591,130
7592,130
7593,130
7594,130
7595,200
7596,210
7597,220
7598,230
7599,230
7600,230
7601,230
7602,230
7603,240
7604,240
7605,250
7606,250
7607,250
7608,250
7609,250
7610,280
7611,280
7612,280
7613,280
7614,36
7615,36
7616,200
7617,85
7618,190
7619,180
7620,130
7621,130
7622,140
7623,140
7624,140
7625,140
7626,150
7627,150
7628,150
7629,150
7630,150
7631,160
7632,160
7633,170
7634,170
7635,180
7636,180
7637,180
7638,180
7639,180
7640,180
7641,190
7642,85
7643,85
7644,80
7645,42
7646,42
7647,42
7648,42
7649,42
7650,45
7651,45
7652,45
7653,45
7654,45
7655,45
7656,48
7657,48
7658,48
7659,50
7660,50
7661,50
7662,50
7663,50
7664,50
7665,50
7666,40
7667,52
7668,40
7669,40
7670,34
7671,34
7672,34
7673,36
7674,36
7675,36
7676,36
7677,36
7678,36
7679,36
7680,36
7681,38
7682,38
7683,38
7684,38
7685,38
7686,40
7687,40
7688,40
7689,40
7690,40
7691,40
7692,36
7693,52
7694,52
7695,70
7696,70
7697,70
7698,70
7699,70
7700,75
7701,75
7702,75
7703,75
7704,75
7705,75
7706,75
7707,75
7708,80
7709,80
7710,80
7711,80
7712,80
7713,80
7714,80
7715,80
7716,70
7717,52
7718,70
7719,65
7720,56
7721,56
7722,56
7723,56
7724,56
7725,56
7726,56
7727,60
7728,60
7729,60
7730,60
7731,60
7732,60
7733,60
7734,65
7735,65
7736,65
7737,65
7738,65
7739,65
7740,65
7741,70
7742,34
7743,36
7744,36
7745,20
7746,20
7747,20
7748,20
7749,20
7750,20
7751,20
7752,20
7753,20
7754,20
7755,20
7756,20
7757,20
7758,20
7759,18
7760,18
7761,18
7762,18
7763,18
7764,18
7765,20
7766,20
7767,20
7768,20
7769,24
7770,24
7771,24
7772,24
7773,24
7774,22
7775,22
7776,22
7777,22
7778,22
7779,22
7780,22
7781,22
7782,22
7783,22
7784,22
7785,22
7786,22
7787,22
7788,20
7789,20
7790,18
7791,18
7792,18
7793,18
7794,14
7795,14
7796,14
7797,10
7798,10
7799,10
7800,10
7801,10
7802,10
7803,10
7804,10
7805,12
7806,12
7807,12
7808,12
7809,12
7810,12
7811,12
7812,12
7813,12
7814,12
7815,14
7816,24
7817,14
7818,14
7819,18
7820,16
7821,16
7822,16
7823,16
7824,16
7825,16
7826,16
7827,16
7828,16
7829,16
7830,16
7831,16
7832,16
7833,16
7834,16
7835,16
7836,14
7837,14
7838,14
7839,14
7840,14
7841,24
7842,24
7843,24
7844,34
7845,34
7846,32
7847,32
7848,32
7849,32
7850,32
7851,32
7852,32
7853,32
7854,32
7855,32
7856,32
7857,32
7858,32
7859,32
7860,30
7861,30
7862,30
7863,30
7864,30
7865,34
7866,30
7867,34
7868,34
7869,90
7870,90
7871,36
7872,36
7873,36
7874,36
7875,36
7876,36
7877,36
7878,36
7879,36
7880,35
7881,35
7882,35
7883,35
7884,35
7885,34
7886,34
7887,34
7888,34
7889,34
7890,34
7891,36
7892,30
7893,30
7894,26
7895,26
7896,26
7897,26
7898,25
7899,25
7900,25
7901,25
7902,25
7903,25
7904,25
7905,25
7906,25
7907,25
7908,25
7909,25
7910,25
7911,25
7912,25
7913,24
7914,24
7915,26
7916,30
7917,26
7918,26
7919,30
7920,30
7921,30
7922,30
7923,30
7924,30
7925,30
7926,30
7927,30
7928,30
7929,30
7930,30
7931,28
7932,28
7933,28
7934,28
7935,28
7936,28
7937,28
7938,28
7939,26
7940,26
7941,100
7942,34
7943,32
7944,65
7945,65
7946,65
7947,65
7948,65
7949,65
7950,65
7951,65
7952,65
7953,65
7954,65
7955,65
7956,65
7957,65
7958,65
7959,65
7960,65
7961,60
7962,60
7963,60
7964,65
7965,65
7966,65
7967,70
7968,290
7969,70
7970,70
7971,70
7972,70
7973,70
7974,70
7975,70
7976,70
7977,70
7978,70
7979,70
7980,70
7981,70
7982,70
7983,70
7984,70
7985,70
7986,70
7987,70
7988,70
7989,60
7990,60
7991,60
7992,60
7993,42
7994,42
7995,42
7996,42
7997,40
7998,40
7999,40
8000,36
8001,32
8002,32
8003,32
8004,32
8005,30
8006,30
8007,30
8008,28
8009,28
8010,28
8011,28
8012,28
8013,25
8014,45
8015,70
8016,45
8017,50
8018,60
8019,60
8020,60
8021,60
8022,60
8023,60
8024,60
8025,60
8026,60
8027,60
8028,60
8029,60
8030,60
8031,60
8032,60
8033,60
8034,20
8035,18
8036,16
8037,50
8038,50
8039,45
8040,70
8041,70
8042,70
8043,95
8044,90
8045,90
8046,90
8047,90
8048,90
8049,90
8050,90
8051,90
8052,90
8053,90
8054,90
8055,90
8056,90
8057,90
8058,90
8059,90
8060,90
8061,90
8062,90
8063,90
8064,95
8065,90
8066,95
8067,95
8068,100
8069,100
8070,100
8071,100
8072,100
8073,100
8074,100
8075,100
8076,100
8077,100
8078,100
8079,100
8080,100
8081,100
8082,100
8083,100
8084,95
8085,95
8086,95
8087,95
8088,95
8089,95
8090,25
8091,90
8092,85
8093,80
8094,80
8095,80
8096,80
8097,80
8098,80
8099,80
8100,75
8101,75
8102,75
8103,75
8104,75
8105,75
8106,75
8107,75
8108,75
8109,75
8110,75
8111,75
8112,75
8113,70
8114,80
8115,85
8116,80
8117,80
8118,85
8119,85
8120,85
8121,85
8122,85
8123,85
8124,85
8125,85
8126,80
8127,80
8128,80
8129,80
8130,80
8131,80
8132,80
8133,80
8134,80
8135,80
8136,80
8137,80
8138,80
8139,80
8140,32
8141,25
8142,20
8143,38
8144,38
8145,36
8146,36
8147,36
8148,36
8149,36
8150,10
8151,10
8152,38
8153,12
8154,12
8155,12
8156,12
8157,14
8158,14
8159,14
8160,14
8161,14
8162,16
8163,12
8164,38
8165,38
8166,38
8167,40
8168,40
8169,40
8170,40
8171,40
8172,40
8173,40
8174,40
8175,40
8176,40
8177,40
8178,40
8179,40
8180,40
8181,40
8182,40
8183,40
8184,40
8185,40
8186,40
8187,40
8188,16
8189,16
8190,16
8191,16
8192,25
8193,26
8194,26
8195,28
8196,28
8197,28
8198,28
8199,28
8200,28
8201,28
8202,30
8203,30
8204,30
8205,30
8206,30
8207,30
8208,30
8209,30
8210,30
8211,30
8212,32
8213,25
8214,40
8215,25
8216,25
8217,16
8218,16
8219,18
8220,18
8221,18
8222,20
8223,20
8224,20
8225,20
8226,20
8227,20
8228,20
8229,20
8230,20
8231,22
8232,22
8233,22
8234,22
8235,22
8236,22
8237,24
8238,25
8239,40
8240,40
8241,42
8242,54
8243,54
8244,52
8245,52
8246,52
8247,52
8248,52
8249,52
8250,50
8251,50
8252,50
8253,50
8254,50
8255,50
8256,50
8257,50
8258,50
8259,50
8260,50
8261,50
8262,50
8263,54
8264,50
8265,54
8266,56
8267,20
8268,20
8269,20
8270,20
8271,18
8272,18
8273,56
8274,56
8275,56
8276,56
8277,56
8278,56
8279,56
8280,56
8281,56
8282,56
8283,56
8284,56
8285,56
8286,56
8287,56
8288,56
8289,24
8290,50
8291,50
8292,45
8293,45
8294,45
8295,45
8296,45
8297,45
8298,45
8299,45
8300,45
8301,45
8302,42
8303,42
8304,42
8305,42
8306,42
8307,42
8308,42
8309,42
8310,42
8311,42
8312,42
8313,45
8314,50
8315,45
8316,45
8317,50
8318,50
8319,50
8320,50
8321,50
8322,50
8323,48
8324,48
8325,48
8326,48
8327,48
8328,48
8329,48
8330,46
8331,46
8332,45
8333,45
8334,45
8335,45
8336,45
8337,45
8338,45
8339,290
8340,36
8341,85
8342,60
8343,60
8344,56
8345,56
8346,56
8347,56
8348,56
8349,56
8350,56
8351,56
8352,56
8353,56
8354,56
8355,54
8356,54
8357,54
8358,52
8359,52
8360,52
8361,60
8362,60
8363,60
8364,60
8365,65
8366,65
8367,65
8368,65
8369,65
8370,65
8371,65
8372,65
8373,65
8374,52
8375,65
8376,65
8377,63
8378,60
8379,60
8380,60
8381,60
8382,60
8383,60
8384,60
8385,65
8386,52
8387,52
8388,50
8389,45
8390,45
8391,45
8392,45
8393,45
8394,45
8395,42
8396,42
8397,42
8398,45
8399,42
8400,42
8401,42
8402,42
8403,42
8404,42
8405,42
8406,40
8407,40
8408,40
8409,42
8410,65
8411,45
8412,45
8413,50
8414,50
8415,50
8416,50
8417,50
8418,50
8419,50
8420,50
8421,50
8422,45
8423,50
8424,48
8425,48
8426,48
8427,48
8428,48
8429,48
8430,48
8431,45
8432,45
8433,48
8434,40
8435,70
8436,70
8437,100
8438,100
8439,100
8440,100
8441,100
8442,100
8443,100
8444,95
8445,95
8446,95
8447,95
8448,95
8449,95
8450,95
8451,90
8452,90
8453,90
8454,90
8455,90
8456,100
8457,100
8458,100
8459,100
8460,48
8461,42
8462,36
8463,24
8464,20
8465,16
8466,105
8467,105
8468,105
8469,90
8470,105
8471,105
8472,105
8473,105
8474,105
8475,105
8476,105
8477,105
8478,105
8479,100
8480,105
8481,90
8482,90
8483,90
8484,80
8485,80
8486,75
8487,75
8488,75
8489,75
8490,75
8491,75
8492,75
8493,80
8494,75
8495,75
8496,70
8497,70
8498,70
8499,70
8500,70
8501,70
8502,70
8503,70
8504,75
8505,70
8506,80
8507,80
8508,90
8509,90
8510,90
8511,85
8512,85
8513,85
8514,85
8515,85
8516,85
8517,80
8518,85
8519,90
8520,85
8521,85
8522,80
8523,80
8524,80
8525,80
8526,80
8527,80
8528,85
8529,40
8530,160
8531,40
8532,22
8533,22
8534,22
8535,22
8536,22
8537,22
8538,22
8539,22
8540,22
8541,22
8542,20
8543,20
8544,20
8545,20
8546,20
8547,20
8548,20
8549,20
8550,21
8551,20
8552,22
8553,24
8554,25
8555,25
8556,25
8557,25
8558,25
8559,25
8560,25
8561,25
8562,24
8563,25
8564,24
8565,24
8566,24
8567,24
8568,24
8569,24
8570,24
8571,24
8572,24
8573,25
8574,20
8575,20
8576,16
8577,16
8578,14
8579,14
8580,14
8581,14
8582,14
8583,14
8584,16
8585,14
8586,14
8587,14
8588,14
8589,14
8590,10
8591,8
8592,5.5
8593,40
8594,14
8595,20
8596,16
8597,16
8598,20
8599,18
8600,18
8601,18
8602,18
8603,18
8604,18
8605,18
8606,16
8607,18
8608,18
8609,18
8610,18
8611,16
8612,16
8613,16
8614,16
8615,16
8616,18
8617,25
8618,20
8619,25
8620,36
8621,36
8622,36
8623,36
8624,36
8625,35
8626,35
8627,35
8628,36
8629,34
8630,34
8631,34
8632,34
8633,34
8634,34
8635,34
8636,34
8637,34
8638,34
8639,32
8640,36
8641,36
8642,40
8643,25
8644,40
8645,40
8646,40
8647,40
8648,38
8649,38
8650,36
8651,38
8652,38
8653,38
8654,38
8655,38
8656,38
8657,38
8658,36
8659,36
8660,38
8661,32
8662,36
8663,32
8664,29
8665,28
8666,28
8667,28
8668,28
8669,28
8670,28
8671,28
8672,28
8673,28
8674,26
8675,26
8676,26
8677,26
8678,26
8679,26
8680,26
8681,32
8682,26
8683,30
8684,30
8685,28
8686,30
8687,32
8688,32
8689,32
8690,32
8691,32
8692,32
8693,32
8694,30
8695,30
8696,32
8697,30
8698,30
8699,30
8700,30
8701,30
8702,30
8703,30
8704,30
8705,70
8706,75
8707,75
8708,75
8709,70
8710,70
8711,75
8712,70
8713,75
8714,80
8715,80
8716,80
8717,80
8718,80
8719,80
8720,80
8721,80
8722,80
8723,70
8724,80
8725,70
8726,60
8727,70
8728,60
8729,80
8730,60
8731,60
8732,65
8733,65
8734,65
8735,65
8736,65
8737,70
8738,65
8739,65
8740,65
8741,65
8742,70
8743,70
8744,70
8745,70
8746,70
8747,70
8748,65
8749,80
8750,45
8751,80
8752,100
8753,100
8754,100
8755,100
8756,100
8757,90
8758,90
8759,85
8760,80
8761,100
8762,70
8763,60
8764,55
8765,50
8766,45
8767,42
8768,42
8769,40
8770,38
8771,60
8772,65
8773,95
8774,95
8775,95
8776,80
8777,85
8778,85
8779,85
8780,85
8781,85
8782,85
8783,85
8784,85
