,Размер
251,8
252,8
253,8
254,8
255,10
256,6.5
257,6
258,6
259,6
260,6
261,6
262,6
263,6.5
264,6
265,10
266,10
267,20
268,20
269,18
270,18
271,16
272,16
273,10
274,14
275,12
276,12
277,12
278,12
279,12
280,10
281,14
282,6
283,12
284,28
285,25
286,22
287,20
288,18
289,16
290,14
291,12
292,12
293,20
294,10
295,10
296,8
297,8
298,6
299,6
300,14
301,12
302,10
303,10
304,36
305,16
306,20
307,10
308,10
309,10
310,10
311,12
312,12
313,12
314,14
315,14
316,14
317,16
318,18
319,20
320,22
321,25
322,28
323,32
324,36
325,40
326,20
327,18
328,16
329,14
330,10
331,8
332,6
333,6
334,8
335,8
336,8
337,10
338,10
339,10
340,10
341,12
342,12
343,12
344,14
345,14
346,16
347,16
348,20
349,16
350,8
351,20
352,10
353,12
354,10
355,8
356,6
357,25
358,22
359,20
360,18
361,16
362,14
363,12
364,10
365,10
366,6
367,25
368,22
369,16
370,14
371,12
372,6
373,8
374,18
375,6
376,6
377,6
378,8
379,8
380,18
381,10
382,8
383,10
384,36
385,28
386,25
387,22
388,20
389,18
390,16
391,8
392,32
393,12
394,18
395,16
396,14
397,20
398,22
399,25
400,28
401,32
402,12
403,6
404,6
405,6
406,6
407,8
408,14
409,14
410,12
411,12
412,12
413,14
414,16
415,18
416,20
417,22
418,25
419,32
420,36
421,36
422,32
423,28
424,22
425,12
426,20
427,16
428,14
429,14
430,8
431,6
432,6
433,8
434,8
435,8
436,10
437,10
438,10
439,32
440,18
441,32
442,22
443,25
444,10
445,10
446,10
447,10
448,10
449,12
450,12
451,14
452,14
453,16
454,16
455,16
456,18
457,10
458,18
459,20
460,22
461,22
462,25
463,25
464,28
465,28
466,32
467,32
468,36
469,36
470,40
471,40
472,20
473,28
474,8
475,8
476,12
477,20
478,18
479,16
480,14
481,12
482,12
483,12
484,12
485,11
486,11
487,10
488,10
489,8
490,8
491,12
492,10
493,10
494,8
495,8
496,12
497,6
498,6
499,8
500,8
501,8
502,8
503,8
504,6
505,12
506,8
507,8
508,16
509,16
510,18
511,18
512,20
513,20
514,22
515,22
516,25
517,25
518,28
519,28
520,32
521,32
522,36
523,40
524,12
525,12
526,12
527,12
528,12
529,14
530,10
531,12
532,16
533,20
534,25
535,14
536,14
537,14
538,14
539,6
540,8
541,10
542,12
543,14
544,16
545,18
546,20
547,6
548,6
549,8
550,8
551,10
552,14
553,10
554,6
555,6
556,8
557,8
558,8
559,10
560,10
561,12
562,12
563,12
564,12
565,12
566,14
567,10
568,16
569,16
570,20
571,32
572,28
573,28
574,25
575,25
576,22
577,22
578,20
579,20
580,18
581,18
582,16
583,16
584,32
585,14
586,12
587,12
588,12
589,10
590,10
591,8
592,8
593,6
594,6
595,6
596,28
597,32
598,32
599,14
600,10
601,36
602,40
603,22
604,8
605,8
606,8
607,8
608,8
609,8
610,8
611,10
612,10
613,12
614,12
615,12
616,40
617,14
618,14
619,16
620,16
621,16
622,20
623,22
624,22
625,25
626,28
627,28
628,32
629,36
630,36
631,14
632,28
633,20
634,20
635,22
636,25
637,28
638,32
639,8
640,8
641,8
642,8
643,8
644,8
645,10
646,12
647,14
648,16
649,18
650,20
651,22
652,25
653,28
654,32
655,6
656,6
657,6
658,6
659,6
660,12
661,10
662,20
663,18
664,16
665,14
666,12
667,12
668,12
669,12
670,12
671,12
672,12
673,12
674,12
675,12
676,10
677,10
678,10
679,10
680,10
681,10
682,10
683,10
684,10
685,6
686,10
687,10
688,10
689,10
690,8
691,8
692,10
693,12
694,6
695,8
696,8
697,8
698,10
699,8
700,8
701,8
702,6
703,6
704,12
705,10
706,6
707,8
708,8
709,6
710,16
711,10
712,14
713,12
714,12
715,36
716,32
717,28
718,25
719,22
720,8
721,8
722,10
723,12
724,14
725,16
726,6
727,14
728,10
729,10
730,10
731,16
732,20
733,32
734,28
735,25
736,22
